P_NAME,P_DETECTION,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,S_NAME,S_TYPE,S_MAG,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_CONSTELLATION
Kepler-276 c,9,0.04384155693056217,1,0.14747870135850794,0.35734450705530135,0.45546461242176217,0.0,Kepler-276,60,0.6891528760708776,0.7966542750929371,0.6300000000000001,0.40845070422535207,0.5,0.013605442176870748,0.6426133593369088,0.5862068965517242,0.41358239220766596,0.19181205898256154,0.7993794019651264,0.6045450947241909,0.34453967648402517,0.4554873419583304,0.4336137274335742,0.45546460717828213,0.030794218421320754,0.30346603909672343,0.0,2,0.19999999999999996,193416.37,+39 02 10.72,0.17761419860574243,0.3706887801274213,0.3823098340033551,0.1469119467135035,0.0,0.0,2.0,0,Cygnus
K2-283 b,9,0.03220688561002697,0,0.18316831683168316,0.018093900690676932,0.045498314877226775,0.0,K2-283,60,0.6148565955408931,0.5293680297397771,0.42000000000000004,0.26056338028169007,0.8611111111111112,0.2571428571428571,0.4305216967333008,0.7011494252873556,0.31143649847069294,0.1153499067489649,0.3597739702035795,0.23650742890387513,0.03350924211199788,0.04553815688098142,0.043279762460580976,0.045498305686069385,0.5445042829505632,0.830395324529229,0.0,2,0.3999999999999999,5246.65,+09 41 34.51,0.05955794154649328,0.18363412453501943,0.09808016996187573,0.585106086614613,0.0,0.0,2.0,0,Pisces
TOI-1260 c,9,0.03485112909196679,1,0.13941975592908126,0.08118304051085998,0.13360616273471354,0.0,TOI-1260,199,0.45242909593997777,0.21970260223048332,0.21000000000000008,0.15492957746478875,0.33333333333333337,0.44217687074829926,0.2525597269624574,0.7126436781609202,0.37401894412955394,0.1599324952187939,0.6922734904719839,0.556076123568714,0.11211219044157213,0.13364232701504467,0.1271683303878361,0.13360615439197066,0.04533706206555518,0.3538365815729245,0.0,2,0.3999999999999999,102834.58,+65 51 15.11,0.02060009827668438,0.08490762927644314,0.015535539885008161,0.5441965922545559,0.0,0.0,2.0,0,Ursa Major
HD 99492 b,8,0.06737532391982655,3,0.2936909970066774,0.18939244064321578,0.26432354357246024,0.21656050955414016,HD 99492,174,0.16277802905337097,0.48066914498141267,0.38,0.26056338028169007,0.8888888888888888,0.31292517006802717,0.454412481716236,0.7126436781609202,0.3698135664382469,0.15671217675587312,0.30513013280588186,0.12512595620925593,0.24709140750481565,0.2545328030842429,0.26097747234393326,0.2643653034604266,0.03509163371459256,0.31978673468717667,0.0,2,0.3999999999999999,112645.52,+03 00 25.68,0.0677429885964621,0.20033364239496992,0.0755099526644165,0.5725270950630522,0.0,0.0,2.0,0,Leo
HD 28109 c,9,0.02095034110740917,1,0.22403868293806126,0.6304865795670664,0.7168993740972557,0.7662420382165606,HD 28109,51,0.2860107486830203,0.9234200743494423,0.79,0.704225352112676,0.47222222222222227,0.061224489795918366,0.9083373963920038,0.2068965517241379,0.21688137872070573,0.06157681819941676,0.11947969808773076,0.07605817814384302,0.3502499850898959,0.6277179955945027,0.7674544720009987,0.7182470844318447,0.04600029083221112,0.35430323457680857,0.0,2,0.0,42057.19,-680609.68,0.6454820512538308,0.7851153603893125,0.7252627075777257,0.4081661862793188,0.0,0.0,2.0,0,Hydrus
WASP-70 A b,9,0.49577449891586023,1,0.7315795533041677,0.038383340693037414,0.09227250842561387,0.0,WASP-70 A,91,0.3768690469855797,0.7907063197026023,0.6400000000000001,0.5422535211267605,0.4638888888888889,0.6326530612244897,0.764992686494393,0.4137931034482758,0.6827011252462757,0.48462437581752554,0.41173591911107577,0.057224935667364286,0.17952340306648806,0.09231039802045816,0.08781404865802817,0.09227249968485794,0.9507112918928206,0.9848911558145423,0.0,0,0.19999999999999996,210154.53,-132600.18,0.3235951108812058,0.5297754747414687,0.3728852634058114,0.9144236762019683,0.0,0.0,2.0,0,Aquarius
HAT-P-18 b,9,0.16550319953461315,1,0.6225535344232098,0.058706956020317384,0.11001444390948484,0.5350318471337581,HAT-P-18,169,0.4973261320704518,0.4338289962825279,0.30000000000000004,0.2112676056338028,0.6111111111111112,0.8299319727891156,0.40858117991223797,0.7126436781609202,0.4091209675706575,0.18807392952807586,0.14588585383291547,0.021147512898154787,0.1453837586525068,0.09874826120642917,0.1154688548105716,0.11013340019386998,0.13288090574728248,0.5228403150686249,0.0,0,0.3999999999999999,170523.13,+33 00 44.37,0.05281263818472559,0.16910594164014908,0.05717533393338449,0.7754732027365489,0.0,0.0,2.0,0,Hercules
HATS-6 b,9,0.26804106510127457,1,0.6245107068846419,0.0339931316247173,0.06266249398170438,0.0,HATS-6,230,0.6600862023093708,0.03271375464684034,0.09999999999999998,0.08450704225352113,0.75,0.5374149659863945,0.1496830814236958,0.8390804597701145,0.5324970902177373,0.3048637150924447,0.2822273997978684,0.046197495474975016,0.1320939419763171,0.06270161953278118,0.05962198894477029,0.06266248495582555,0.0925638903219224,0.46133175070634735,0.0,0,0.6000000000000001,55235.23,-190153.86,0.00922015182421328,0.044141461647879784,0.001623894403085374,0.504148041518297,0.0,0.0,2.0,0,Lepus
TOI-2076 b,9,0.01816595272092654,0,0.12548929311535803,0.11358705462604815,0.13962445835339432,0.0,TOI-2076,137,0.2673202788272229,0.5814126394052046,0.35,0.22535211267605632,0.34722222222222227,0.009523809523809523,0.47976596782057535,0.5747126436781613,0.27150366235938656,0.0906457717551013,0.4051305105472957,0.37590262540573316,0.08423589209934716,0.1396603714231091,0.13289842382549016,0.13962445006860327,0.12445077658530262,0.5120482125791322,0.0,2,0.3999999999999999,142934.08,+39 47 25.44,0.0775009126725342,0.21911678380031258,0.1231826995726297,0.01816926658345608,0.0,0.0,2.0,0,Bootes
Kepler-18 d,9,0.043312708234174206,1,0.3823393967303707,0.16458045729605542,0.2575830524795378,0.0,Kepler-18,60,0.5754137178736765,0.6353159851301116,0.5,0.4647887323943662,0.7361111111111112,0.6666666666666665,0.6708922476840565,0.4137931034482758,0.24815322388033906,0.07755140071800565,0.07179341757589025,0.02398897832489276,0.2034368847809109,0.2576140418211719,0.24520825520350936,0.2575830453306022,0.103786234969225,0.48048410279477416,0.0,2,0.19999999999999996,195219.07,+44 44 46.49,0.20427329583755355,0.4034763102209912,0.16982357674246645,0.8478423769108806,0.0,0.0,2.0,0,Cygnus
WASP-181 b,9,0.2512326669839759,1,0.7444738659912503,0.04751464353909901,0.10609051516610496,0.0,WASP-181,72,0.5190762517958816,0.8189591078066916,0.5700000000000001,0.36619718309859156,0.5972222222222222,0.15646258503401358,0.7098976109215017,0.6206896551724137,0.46812710743825087,0.2404569936968214,0.1619931832340051,0.0170426575183774,0.16200208878296346,0.1061278279813741,0.10097034319088186,0.10609050655840639,0.5857524206357467,0.8494285730264688,0.0,0,0.19999999999999996,14710.37,+03 07 58.56,0.24740519480673429,0.4524478441440939,0.4166353115205073,0.5107262812433812,0.0,0.0,2.0,0,Pisces
HAT-P-1 b,9,0.44116756570945054,1,0.8316256044209072,0.046900898453033274,0.10931632161771787,0.0,HAT-P-1,60,0.31308199861650615,0.8713754646840148,0.6799999999999999,0.5070422535211268,0.6527777777777778,0.2312925170068027,0.7957094100438811,0.47126436781609193,0.5996463927408349,0.380126745328783,0.2614258111863543,0.027112947612238834,0.1971236093170609,0.10935349978409664,0.1040416732734644,0.10931631304108148,0.8369742022736666,0.9476425709284884,0.0,0,0.19999999999999996,225746.89,+38 40 29.71,0.375512875738243,0.5774609316932221,0.5513223207441045,0.6550266747702075,0.0,0.0,2.0,0,Lacerta
HAT-P-12 b,9,0.17726743878576337,1,0.5992977204697214,0.03272262225465592,0.06788637457871931,0.0,HAT-P-12,185,0.5018490927472996,0.37695167286245357,0.26,0.176056338028169,0.06944444444444453,0.15646258503401358,0.3554363725012189,0.7586206896551726,0.43382738110425145,0.2092323171044559,0.18012820188065448,0.029285260156081773,0.10968118610400139,0.06792528207898109,0.064595710048654,0.06788636560314265,0.218848865407584,0.6200233652505164,0.0,0,0.3999999999999999,135733.27,+43 29 35.92,0.039098754685538396,0.13688327542730094,0.041337730396320015,0.3483176949370751,0.0,0.0,2.0,0,Canes Venatici
TOI-216.01,9,0.47057990903802427,1,0.5619387520147363,0.38725276231766903,0.47351949927780457,0.02929936305732484,TOI-216,60,0.4791677752354601,0.516728624535316,0.30000000000000004,0.2112676056338028,0.9166666666666667,0.2571428571428571,0.47050219405168214,0.8160919540229887,0.7609871998714294,0.5946716209756898,0.697579646332713,0.13830275601171765,0.9114314757154203,0.4712504297485512,0.45298543139787745,0.4735208182332288,0.012201248361306634,0.2025214269599475,0.0,0,0.3999999999999999,45555.2,-631537.19,0.07379936798695219,0.21212299627041387,0.08739113995227195,0.5128182404882476,0.0,0.0,2.0,0,Dorado
TOI-257 b,9,0.11592448040615581,1,0.39287358968454983,0.20454036129763112,0.34328358208955223,0.0,TOI-257,60,0.16295961262172093,0.9141263940520448,0.94,1.0,0.7152777777777778,0.2571428571428571,0.9960994636762555,0.1034482758620694,0.4293593946148093,0.20532327582481347,0.3020910564787408,0.08927274476209951,0.3355702440794879,0.3433109941920094,0.3268047857557029,0.34328357576585045,0.2850628321160798,0.6761409136189729,0.0,2,0.0,31004.14,-504956.15,0.9815841949377929,0.989877416374604,0.7212744099994977,0.8393495926754014,0.0,0.0,2.0,0,Horologium
55 Cnc c,8,0.1439891057168544,1,0.4704121574948192,0.4990423515540177,0.546701974000963,0.1910828025477707,55 Cnc,129,0.05526259777576764,0.571003717472119,0.44000000000000006,0.3450704225352112,0.9583333333333333,0.6802721088435373,0.5899561189663579,0.5517241379310338,0.44004774780993033,0.21473530068137905,0.25647656763353355,0.06085941885112361,0.644226646827996,0.529583911928183,0.5367989580214731,0.5467662450338588,0.016591622323231456,0.2330794514538624,0.0,0,0.19999999999999996,85235.24,+28 19 47.34,0.13653358272749055,0.31517464060625705,0.12144380770115415,0.8158234933192791,0.0,0.0,2.0,0,Cancer
WASP-139 b,9,0.09827624411655826,1,0.4967188579323048,0.06341975189533845,0.12469908521906597,0.0,WASP-139,139,0.48794764007875274,0.6223048327137548,0.45000000000000007,0.24647887323943668,0.75,0.020408163265306117,0.5177961969770843,0.735632183908046,0.34505823727741913,0.13841105418161775,0.12772509544192323,0.02706375803297946,0.1387263789899517,0.12473562129110932,0.11868779210010814,0.1246990767905544,0.1805828419239059,0.5815115366123493,0.0,2,0.3999999999999999,31814.92,-411807.28,0.09451359710835533,0.2494864829532603,0.15655200111596063,0.12267197166562605,0.0,0.0,2.0,0,Eridanus
WASP-23 b,9,0.7428473213813528,1,0.6012548929311535,0.029681056832747875,0.06596051998074147,0.39490445859872614,WASP-23,60,0.49346831266961105,0.5628252788104091,0.31000000000000005,0.22535211267605632,0.4027777777777778,0.4081632653061224,0.5021940516821063,0.7011494252873556,0.9354292168388518,0.8801984187603618,0.9960065177725558,0.1854279666026818,0.1667804580098538,0.06038780181876857,0.06810527767734835,0.06600405937413634,0.45827250562530303,0.786101603906815,0.0,0,0.3999999999999999,64430.6,-424544.03,0.08716265626558456,0.23669637723781511,0.1104383915080756,0.5939863283161796,0.0,0.0,2.0,0,Puppis
TOI-421 c,9,0.04336559310381301,1,0.2735436334331107,0.17827266580996626,0.2616754935002407,0.9681528662420382,TOI-421,134,0.31999946788697914,0.6278810408921933,0.38,0.29577464788732394,0.4444444444444445,0.6258503401360543,0.5553388590931253,0.6206896551724137,0.29881178303259176,0.1072244795122764,0.20385358902782957,0.09402270674443827,0.1811878802648848,0.21820114682742903,0.2905282518131277,0.26250846665872374,0.05875975669248781,0.38801053451310397,0.0,2,0.19999999999999996,52724.79,-141636.27,0.11458853153429482,0.28226452493901416,0.15645207716966547,0.7528369075737323,0.0,0.0,2.0,0,Lepus
NGTS-1 b,9,0.6823680786926861,1,0.8387059636196177,0.026316879695009912,0.05392392874337987,0.10191082802547771,NGTS-1,222,0.7015245038046083,0.10408921933085513,0.15000000000000002,0.08450704225352113,0.47222222222222227,0.2571428571428571,0.12384202827888835,0.8735632183908049,0.7538321059458915,0.5841483052676267,0.4382466114595368,0.0512229385629187,0.15838222990329734,0.05270781426697306,0.052497419968128775,0.05392643046631132,0.10128155133903763,0.4763155707823208,0.0,0,0.6000000000000001,53051.41,-363751.53,0.007130181945560556,0.03536552886654519,0.005570574534859383,0.41098477516821375,0.0,0.0,2.0,0,Columba
K2-136 c,9,0.0478079221534719,1,0.15323509095095555,0.19230035500150913,0.26071256620125177,0.2993630573248408,K2-136,194,0.3978209971798011,0.3211895910780671,0.27,0.1619718309859155,0.4444444444444445,0.030612244897959176,0.30716723549488056,0.8390804597701145,0.4258531332307531,0.20228121327938384,0.8159424297198767,0.5951223568040449,0.22329102019941988,0.24733642558107954,0.26095340595149513,0.26079137468263236,0.017557806582705067,0.2389124922196005,0.0,2,0.3999999999999999,42939.09,+22 52 57.24,0.02930002329813946,0.1109223317521769,0.030403934294044966,0.092207895090482,0.0,0.0,2.0,0,Taurus
TOI-2076 c,9,0.03167803691363901,0,0.1818443472254202,0.23428639019654585,0.23856523832450652,0.0,TOI-2076,137,0.2673202788272229,0.5814126394052046,0.35,0.22535211267605632,0.34722222222222227,0.009523809523809523,0.47976596782057535,0.5747126436781613,0.3096544263532676,0.11418526711055106,0.35828079839069715,0.2373143205035583,0.17884206602345037,0.23859702149168832,0.22710115994052255,0.23856523099244323,0.0479477558114153,0.36156478773991063,0.0,2,0.3999999999999999,142934.08,+39 47 25.44,0.0775009126725342,0.21911678380031258,0.1231826995726297,0.01816926658345608,0.0,0.0,2.0,0,Bootes
WASP-132 b,9,0.34451927653498343,1,0.5590605572185126,0.07711130371403152,0.13673567645642756,0.44585987261146504,WASP-132,185,0.45349332198158904,0.400743494423792,0.31000000000000005,0.2112676056338028,0.7222222222222222,0.20408163265306123,0.3949293027791322,0.7241379310344831,0.6461036152252734,0.437023517765307,0.495554605721067,0.09756673776176408,0.23458533677346308,0.12548185879770932,0.14089763426445523,0.13683461855401655,0.08634113773776826,0.4493542517860223,0.0,0,0.3999999999999999,143026.21,-460934.26,0.048954943353584295,0.1604387792019898,0.04823788142346281,0.43297054963796755,0.0,0.0,2.0,0,Lupus
TOI-2076 d,9,0.027711671690729283,0,0.16658991480543403,0.39404437219388044,0.3459316321617718,0.0,TOI-2076,137,0.2673202788272229,0.5814126394052046,0.35,0.22535211267605632,0.34722222222222227,0.009523809523809523,0.47976596782057535,0.5747126436781613,0.3000325569868452,0.10799746131366482,0.3689078198072132,0.2652275408836407,0.24698878548079503,0.3459589337315578,0.32932602686827067,0.34593162586356885,0.023773637512366014,0.27258000664765536,0.0,2,0.3999999999999999,142934.08,+39 47 25.44,0.0775009126725342,0.21911678380031258,0.1231826995726297,0.01816926658345608,0.0,0.0,2.0,0,Bootes
KOI-94 d,9,0.28023692421598184,1,0.6292885102463734,0.2493180191857584,0.38083774675012033,0.14012738853503184,KOI-94,60,0.4785026339594531,0.9464684014869889,0.81,0.7535211267605633,0.5041666666666667,0.20136054421768707,0.9195514383227693,0.26436781609195403,0.5433419464798498,0.3164606192692744,0.29308156379257005,0.04769738703032667,0.5100239736483222,0.3719453309291327,0.37105210887379236,0.3808622713612158,0.16318092285285285,0.561879669381396,0.0,0,0.0,194919.94,+41 53 28.03,0.6810757693676223,0.8089764708564099,0.8119179811106009,0.6775916653163837,0.0,0.0,2.0,0,Cygnus
HD 332231 b,9,0.20500957216140464,1,0.5399493437715864,0.2082072115257076,0.32113625421280695,0.20382165605095542,HD 332231,45,0.22867557069121486,0.9118959107806694,0.6599999999999999,0.584507042253521,0.5222222222222223,0.27891156462585026,0.8347147732813262,0.3793103448275863,0.4967867387971913,0.268197143956765,0.2871288168436763,0.057288666480512555,0.4006714910903807,0.3101029437047573,0.3162504120510191,0.32118051825883986,0.15030526116460574,0.5463029168922888,0.0,0,0.0,202657.87,+33 44 39.80,0.4532804622894075,0.6432181752400912,0.6624879525930707,0.6935960435511869,0.0,0.0,2.0,0,Cygnus
HAT-P-3 b,9,0.546220053942567,1,0.587036610637808,0.029174658770125574,0.06851227732306212,0.0,HAT-P-3,137,0.44803916351833134,0.5758364312267659,0.5900000000000001,0.29577464788732394,0.8472222222222223,0.09523809523809523,0.5104826913700634,0.7011494252873556,0.8052866697543807,0.66190930881873,0.7492524941821157,0.1418713070010872,0.14708387135609377,0.0685511586974198,0.06519163976617003,0.06851226835351244,0.4499092333182395,0.7822721901892308,0.0,0,0.3999999999999999,134422.56,+48 01 42.83,0.09100035968239362,0.24343242723527264,0.13123933349785227,0.41474193742834975,0.0,0.0,2.0,0,Ursa Major
WASP-160 B b,9,0.23358384896081233,1,0.6838590835827769,0.039011445891942866,0.08425613866153106,0.0,WASP-160 B,146,0.526791890597563,0.6178438661710037,0.4,0.29577464788732394,0.8472222222222223,0.6496598639455782,0.5309605070697221,0.6321839080459775,0.4706690266731354,0.242856653012037,0.18523726560367565,0.02418940867069009,0.1373361239488384,0.08429436286891635,0.08018156419907299,0.08425612984358333,0.362392358624755,0.7304415373596274,0.0,0,0.3999999999999999,55043.09,-273723.96,0.10115146350853063,0.2606507906788985,0.15023697236681097,0.7765586712220512,0.0,0.0,2.0,0,Columba
